year,population
1901,40681000
1906,41067000
1911,41415000
1960,46647521
1961,47293811
1962,47990159
1963,48697015
1964,49361165
1965,49945471
1966,50430631
1967,50829214
1968,51175036
1969,51518731
1970,51895793
1971,52320049
1972,52776806
1973,53239101
1974,53666947
1975,54033095
1976,54328016
1977,54565943
1978,54772084
1979,54982879
1980,55224670
1981,55505282
1982,55816654
1983,56149874
1984,56489874
1985,56825158
1986,57155165
1987,57482783
1988,57803824
1989,58113622
1990,58409202
1991,58557072
1992,58849212
1993,59105073
1994,59325793
1995,59540711
1996,59752020
1997,59963792
1998,60185178
1999,60495470
2000,60911057
2001,61355725
2002,61803229
2003,62242474
2004,62702121
2005,63176246
2006,63617975
2007,64012572
2008,64371099
2009,64702921
2010,65023142
2011,65343588
2012,65649570
2013,65939866
2015,66380602
2016,66632870
2016,66628000
